100
978-987-439-412-1;Absalom Absalom! ;William Faulkner;1936;Estados Unidos;150;[Inglés,Español,Francés]
978-987-3697-62-3;1984;George Orwell ;1949;Reino Unido ;570;[Ruso, Inglés, Español, Francés, Italiano, Hindú, Bengalí]
978-987-791-768-4;Al faro ;Virginia Woolf ;1927;Reino Unido ;570;[Inglés,Español,Francés]
978-987-746-459-4;Almas muertas ;Nikolai Gogol ;1842;Ucrania ;350;[Ruso, Inglés, Español, Francés, Italiano, Hindú]
978-987-766-264-8;Ana Karenina ;Lev Tolstói ;1877;Rusia ;460;[Ruso, Inglés, Español, Francés, Italiano]
978-987-206-696-9;Beloved ;Toni Morrison ;1987;Estados Unidos ;630;[Inglés, Español]
978-987-910-602-7;Berlin Alexanderplatz ;Alfred Döblin ;1929;Alemania ;700;[Alemán,Francés,Inglés]
978-987-935-483-2;Bostan ;Saadi ;1257;Persia;460;[Persa, Inglés]
978-987-820-855-8;Casa de muñecas ;Henrik Ibsen ;1879;Noruega ;380;[Noruego, Alemán, Inglés]
978-987-252-787-9;Cien años de soledad ;Gabriel García Márquez ;1967;Colombia ;370;[Español, Inglés, Francés]
978-987-440-625-4;Crimen y castigo ;Fiódor Dostoievski ;1866;Rusia ;500;[Ruso]
978-987-152-263-1;Cuentos ;Edgar Allan Poe ;1800;Estados Unidos ;560;[Inglés,Español,Francés]
978-987-840-498-4;Cuentos infantiles ;Hans Christian Andersen ;1835;Dinamarca ;110;[Danés, Ruso, Hebreo, Francés, Alemán, Hindú, Español]
978-987-852-412-5;Cumbres Borrascosas ;Emily Brontë ;1847;Reino Unido ;360;[Inglés, Portugués, Francés, Español, Hindú, Japonés, Ruso]
978-987-378-567-8;Decamerón ;Giovanni Boccaccio ;1349;Rávena ;270;[Italiano, Portugués]
978-987-398-354-6;Diario de un loco ;Lu Xun ;1918;China ;110;[Chino, Japonés, Hindú]
978-987-628-363-2;Divina Comedia ;Dante Alighieri ;1265;Italia ;160;[Italiano, Inglés, Español]
978-987-308-178-4;Don Quijote de la Mancha ;Miguel de Cervantes ;1605;España ;340;[Español, Inglés, Francés, Italiano, Portugués]
978-987-304-533-5;Edipo rey ;Sófocles ;-430;Imperio ateniense ;330;[Griego clásico]
978-987-480-817-3;El amor en los tiempos del cólera ;Gabriel García Márquez ;1985;Colombia ;300;[Español, Inglés, Francés]
978-987-273-635-3;El castillo ;Franz Kafka ;1926;República de Checoslovaquia ;350;[Alemán]
978-987-245-822-2;El cuaderno dorado ;Doris Lessing ;1962;Reino Unido ;390;[Inglés, Francés, Italiano, Alemán, Español]
978-987-770-487-9;El extranjero ;Albert Camus ;1942;Argelia, Imperio francés ;420;[Francés]
978-987-359-579-4;El hombre invisible ;Ralph Ellison ;1952;Estados Unidos ;400;[Inglés, Portugués]
978-987-731-752-2;El hombre sin atributos ;Robert Musil ;1930;Austria ;660;[Alemán, Ruso, Inglés]
978-987-566-913-0;El idiota ;Fiódor Dostoievski ;1869;Rusia ;590;[Ruso, Italiano]
978-987-185-560-4;El proceso ;Franz Kafka ;1925;República de Checoslovaquia ;100;[Alemán, Portugués, Español, Chino, Japonés, Persa]
978-987-214-791-1;El rey Lear ;William Shakespeare ;1608;Inglaterra ;490;[Inglés, Francés, Japonés]
978-987-357-890-4;El ruido y la furia ;William Faulkner ;1929;Estados Unidos ;430;[Inglés, Portugués, Alemán]
978-987-277-378-2;El sonido de la montaña ;Yasunari Kawabata ;1954;Japón ;520;[Japonés]
978-987-482-269-2;El tambor de hojalata ;Günter Grass ;1959;Alemania Occidental ;150;[Alemán, Inglés]
978-987-667-881-1;El viejo y el mar ;Ernest Hemingway ;1952;Estados Unidos ;480;[Inglés, Español]
978-987-910-562-4;En busca del tiempo perdido ;Marcel Proust ;1913;Francia ;310;[Francés, Italiano, Español, Ruso, Holandés]
978-987-500-793-1;Eneida ;Virgilio ;-29;Imperio romano ;400;[latín clásico]
978-987-233-905-2;Ensayo sobre la ceguera ;José Saramago ;1995;Portugal ;630;[Portugués, Inglés]
978-987-669-735-8;Ensayos ;Michel de Montaigne ;1595;Francia ;300;[Francés]
978-987-632-398-2;Fausto ;Johann Wolfgang von Goethe ;1832;Alemania ;470;[Alemán, Inglés, Ruso, Italiano]
978-987-519-852-1;Ficciones ;Jorge Luis Borges ;1944;Argentina ;450;[Español, Inglés, Español, Italiano, Ruso, Japonés]
978-987-294-657-2;Gargantúa y Pantagruel ;François Rabelais ;1532;Francia ;390;[Francés]
978-987-392-226-9;Genji Monogatari ;Murasaki Shikibu ;1032;Japón ;610;[Japonés, Hindú, Bengalí]
978-987-576-462-9;Gente independiente ;Halldór Laxness ;1934;Islandia ;660;[Islandés, Noruego, Inglés, Ruso]
978-987-905-758-4;Gran Sertón: Veredas ;João Guimarães Rosa ;1956;Brasil ;600;[Portugués]
978-987-610-926-8;Grandes Esperanzas ;Charles Dickens ;1861;Reino Unido ;430;[Inglés, Español, Francés, Alemán]
978-987-327-736-2;Guerra y paz ;Lev Tolstói ;1865;Rusia ;600;[Ruso, Inglés, Alemán, Francés, Esloveno]
978-987-211-870-4;Hambre ;Knut Hamsun ;1890;Noruega ;370;[Noruego]
978-987-777-074-2;Hamlet ;William Shakespeare ;1603;Inglaterra ;600;[Inglés, Español, Alemán]
978-987-494-506-3;Hijos de la medianoche ;Salman Rushdie ;1981;India ;220;[Inglés, Francés, Italiano, Alemán, Español]
978-987-580-247-8;Hijos de nuestro barrio ;Naguib Mahfuz ;1959;Egipto ;650;[Árabe]
978-987-187-228-1;Hijos y amantes ;D. H. Lawrence ;1913;Reino Unido ;270;[Inglés, Italiano]
978-987-768-452-8;Hojas de hierba ;Walt Whitman ;1855;Estados Unidos ;300;[Inglés]
978-987-86-4575-9;Ilíada ;Homero ;-750;Probablemente Esmirna ;540;[Griego, Persa, Inglés, Latin, Español, Japonés]
978-987-370-936-5;Jacques el fatalista ;Denis Diderot ;1796;Francia ;650;[Francés, Español, Griego]
978-987-199-608-8;La conciencia de Zeno ;Italo Svevo ;1923;Italia ;160;[Italiano, Francés, Español]
978-987-476-447-1;La educación sentimental ;Gustave Flaubert ;1869;Francia ;350;[Francés, Español]
978-987-332-828-5;La historia ;Elsa Morante ;1974;Italia ;310;[Italiano, Inglés, Español]
978-987-647-275-6;La montaña mágica ;Thomas Mann ;1924;Alemania ;640;[Alemán]
978-987-553-203-2;La muerte de Iván Ilich ;Lev Tolstói ;1886;Rusia ;620;[Ruso, Esloveno]
978-987-309-594-1;La señora Dalloway ;Virginia Woolf ;1925;Reino Unido ;210;[Inglés, Español, Alemán, Ruso]
978-987-913-318-3;Las aventuras de Huckleberry Finn ;Mark Twain ;1884;Estados Unidos ;370;[Inglés, Español, Alemán]
978-987-307-920-7;Las metamorfosis ;Ovidio ;56;Imperio romano ;290;[Latín]
978-987-316-724-9;Las mil y una noches ;Anónimo ;700;India ;550;[Árabe, Bengalí]
978-987-773-707-1;Libro de Job (de la Biblia) ;Anónimo ;-400;Imperio aqueménida ;120;[Hebreo]
978-987-597-448-1;Libro del desasosiego ;Fernando Pessoa ;1928;Portugal ;320;[Portugués, Español, Inglés, Italiano, Japonés, Ruso]
978-987-697-537-3;Lolita ;Vladimir Nabokov ;1955;Estados Unidos ;340;[Inglés, Español]
978-987-694-480-9;Los Buddenbrook ;Thomas Mann ;1901;Alemania ;630;[Alemán, Griego]
978-987-378-733-4;Los cuentos de Canterbury ;Geoffrey Chaucer ;1350;Inglaterra ;120;[Inglés, Francés, Español, Hebreo]
978-987-272-326-4;Los endemoniados ;Fiódor Dostoievski ;1872;Rusia ;100;[Ruso, Inglés, Español]
978-987-387-649-8;Los hermanos Karamazov ;Fiódor Dostoievski ;1880;Rusia ;560;[Ruso, Inglés, Japonés, Hindú]
978-987-422-858-9;Los viajes de Gulliver ;Jonathan Swift ;1726;Irlanda ;320;[Inglés, Francés]
978-987-700-805-9;Madame Bovary ;Gustave Flaubert ;1857;Francia ;470;[Francés]
978-987-407-306-2;Mahabhárata ;Viasa ;-600;India ;470;[Sánscrito]
978-987-834-170-3;Masnavi ;Rumi ;1258;Persia, Imperio mongol ;160;[Persa, Inglés, Arabe]
978-987-782-337-2;Medea ;Eurípides ;-431;Imperio ateniense ;200;[Griego clásico]
978-987-770-677-3;Memorias de Adriano ;Marguerite Yourcenar ;1951;Francia ;330;[Francés]
978-987-761-875-8;Middlemarch ;George Eliot ;1871;Reino Unido ;260;[Inglés, Español, Alemán]
978-987-187-240-1;Moby-Dick ;Herman Melville ;1851;Estados Unidos ;140;[Inglés, Francés]
978-987-150-211-8;Molloy Malone muere;Samuel Beckett ;1951;Irlanda ;140;[Francés, Inglés]
978-987-214-814-5;Nostromo ;Joseph Conrad ;1904;Reino Unido ;380;[Inglés]
978-987-547-943-3;Odisea ;Homero ;-800;Probablemente Esmirna ;560;[Griego antiguo]
978-987-487-387-7;Orgullo y prejuicio ;Jane Austen ;1813;Reino Unido ;290;[Inglés, Español, Alemán]
978-987-161-232-3;Otelo ;William Shakespeare ;1609;Inglaterra ;460;[Inglés]
978-987-821-910-1;Papá Goriot ;Honoré de Balzac ;1835;Francia ;310;[Francés, Italiano, Persa, Hindú]
978-987-199-786-4;Pedro Páramo ;Juan Rulfo ;1955;México ;540;[Español, Italiano]
978-987-522-787-4;Pippi Calzaslargas ;Astrid Lindgren ;1945;Suecia ;120;[Sueco, Alemán, Inglés]
978-987-581-367-7;Poema de Gilgamesh ;Anónimo ;-1700;Sumeria e Imperio acadio ;370;[Acadio, Persa, Inglés]
978-987-181-840-2;Poemas ;Paul Celan ;1952;Rumanía, Francia ;330;[Ruso, Inglés, Alemán, Francés, Esloveno, Hindú]
978-987-358-279-9;Poemas ;Giacomo Leopardi ;1818;Italia ;100;[Italiano, Griego]
978-987-937-808-5;Ramayana ;Valmiki ;-300;India ;180;[Sánscrito]
978-987-502-626-6;Relatos cortos ;Antón Chéjov ;1886;Rusia ;520;[Ruso, Inglés, Alemán, Francés, Esloveno]
978-987-751-883-5;Relatos cortos ;Franz Kafka ;1924;República de Checoslovaquia ;240;[Alemán, Español, Inglés]
978-987-888-561-8;Rojo y negro ;Stendhal ;1830;Francia ;670;[Francés, Portugués]
978-987-357-503-1;Romancero gitano ;Federico García Lorca ;1928;España ;100;[Español]
978-987-361-943-4;Saga de Njál ;Anónimo ;750;Islandia ;520;[Nórdico antiguo]
978-987-690-828-8;Shakuntala ;Kalidasa ;-150;India ;280;[Sánscrito]
978-987-746-389-2;Tiempo de migrar al norte ;Tayeb Salih ;1966;Sudán ;470;[Árabe, Bengalí]
978-987-661-289-9;Todo se desmorona ;Chinua Achebe ;1958;Nigeria ;270;[Inglés, Francés]
978-987-306-284-2;Ulises ;James Joyce ;1922;Estado Libre Irlandés ;550;[Inglés, Español, Alemán]
978-987-239-237-4;Viaje al fin de la noche ;Louis-Ferdinand Céline ;1932;Francia ;570;[Francés, Español, Griego, Chino]
978-987-216-700-1;Vida y opiniones del caballero Tristram Shandy ;Laurence Sterne ;1760;Inglaterra ;650;[Inglés, Español, Alemán]
978-987-927-814-9;Zorba el griego ;Nikos Kazantzakis ;1946;Grecia ;280;[Griego moderno, Inglés, Español, Alemán]
